Tren,Estación origen,Hora programada,Retraso,Hora prevista
18096,REG.EXP.,TORTOSA,22:40,--,22:40
15626,REGIONAL,LLEIDA,22:42,8,22:50
06309,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:46,10,22:56
15138,REGIONAL,REUS,23:02,--,23:02
18262,REGIONAL,TORTOSA,23:32,--,23:32
15240,REGIONAL,SALOU - PORT AVENTURA,23:35,--,23:35
03211,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:40,1,23:41
03203,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:55,4,23:59
15087,MD,FIGUERES,19:46,26,20:12
15031,REG.EXP.,MORA LA NOVA,19:57,6,20:03
18087,REG.EXP.,TORTOSA,20:00,6,20:06
18189,REG.EXP.,TORTOSA,20:00,6,20:06
03202,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:00,1,20:01
08206,AVANT,LLEIDA,20:05,--,20:05
15035,REG.EXP.,REUS,20:27,12,20:39
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,36,21:06
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,36,21:06
15007,MD,FIGUERES,20:46,4,20:50
15007,MD,FIGUERES,20:46,4,20:50
18259,REG.EXP.,TORTOSA,21:00,14,21:14
06310,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:00,2,21:02
03610,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:25,--,21:25
15027,REG.EXP.,REUS,21:30,3,21:33
08216,AVANT,LLEIDA,21:30,--,21:30
03191,AVE *,FIGUERES VILAFANT,21:40,--,21:40
34191,AVANT *,FIGUERES VILAFANT,21:40,--,21:40
15917,MD *,GIRONA,21:46,--,21:46
06309,AVLO,FIGUERES VILAFANT,22:56,10,23:06
00463,Intercity *,BARCELONA-SANTS,17:34,11,17:45
18523,MD *,VALENCIA-ESTACIÒ DEL NORD,18:25,32,18:57
14202,MD *,CARTAGENA,18:30,1,18:31
05162,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,18:33,14,18:47
05172,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:20,3,19:23
05903,AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,20:02,3,20:05
05182,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,20:20,6,20:26
18181,MD *,CIUDAD REAL,20:32,--,20:32
38181,REGIONAL,CIUDAD REAL,20:32,--,20:32
00165,Intercity *,BARCELONA-SANTS,20:39,13,20:52
01161,EUROMED *,BARCELONA-SANTS,21:05,--,21:05
05382,AVE *,OURENSE,21:26,7,21:33
05212,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,22:26,5,22:31
04140,ALVIA *,GIJÓN/XIXÓN,22:54,11,23:05
01181,EUROMED *,FIGUERES VILAFANT,23:14,--,23:14
00463,Intercity *,MURCIA,17:50,15,18:05
05183,AVE *,LEÓN,17:40,1,17:41
18523,MD *,CARTAGENA,18:34,32,19:06
38202,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,18:37,27,19:04
14202,MD *,VALENCIA-ESTACIÒ DEL NORD,18:37,27,19:04
05203,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:45,1,19:46
05903,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:12,1,20:13
00165,Intercity *,CARTAGENA,20:51,9,21:00
18012,MD *,SAN SEBASTIÁN/DONOSTIA,18:55,9,19:04
18904,MD *,SALAMANCA,19:48,--,19:48
18006,MD *,LEÓN,20:41,--,20:41
18906,MD *,SALAMANCA,20:56,--,20:56
18014,MD *,SAN SEBASTIÁN/DONOSTIA,21:42,--,21:42
18908,MD,SALAMANCA,22:47,--,22:47
18913,MD *,SALAMANCA-LA ALAMEDILLA,17:54,--,17:54
18005,MD *,LEÓN,18:27,--,18:27
18909,MD *,SALAMANCA-LA ALAMEDILLA,19:37,--,19:37
18007,MD *,PALENCIA,20:28,--,20:28
18911,MD *,SALAMANCA-LA ALAMEDILLA,21:12,2,21:14
08213,AVANT,TOLEDO,22:03,--,22:03
02191,AVE *,SEVILLA-SANTA JUSTA,22:17,--,22:17
00706,ALVIA,LOGROÑO,22:22,9,22:31
02175,ALVIA,CÁDIZ,22:22,--,22:22
05701,Intercity *,CASTELLÓ,22:34,--,22:34
02197,AVE *,ANTEQUERA-SANTA ANA,23:00,--,23:00
06511,AVLO,VALENCIA JOAQUÍN SOROLLA,23:06,--,23:06
03202,AVE *,BARCELONA-SANTS,23:12,--,23:12
02211,AVE *,SEVILLA-SANTA JUSTA,23:42,--,23:42
06310,AVLO,BARCELONA-SANTS,23:45,--,23:45
08220,AVANT *,PUERTOLLANO,22:15,--,22:15
01192,EUROMED *,ALICANTE/ALACANT,22:04,--,22:04
00437,ALVIA *,CASTEJÓN DE EBRO,22:20,--,22:20
15850,REGIONAL,PORTBOU,22:20,--,22:20
15238,REGIONAL,SALOU - PORT AVENTURA,22:32,--,22:32
18096,REG.EXP.,TORTOSA,22:40,--,22:40
15626,REGIONAL,LLEIDA,22:42,1,22:43
06309,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:46,--,22:46
15822,REGIONAL,PORTBOU,22:52,5,22:57
15138,REGIONAL,REUS,23:02,--,23:02
18262,REGIONAL,TORTOSA,23:32,--,23:32
15240,REGIONAL,SALOU - PORT AVENTURA,23:35,--,23:35
03203,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:55,1,23:56
06309,AVLO,FIGUERES VILAFANT,22:56,--,22:56
05182,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,20:20,2,20:22
18181,MD *,CIUDAD REAL,20:32,6,20:38
00165,Intercity *,BARCELONA-SANTS,20:39,7,20:46
01161,EUROMED *,BARCELONA-SANTS,21:05,--,21:05
05382,AVE *,OURENSE,21:26,2,21:28
04140,ALVIA *,GIJÓN/XIXÓN,22:54,--,22:54
01181,EUROMED *,BARCELONA-SANTS,23:14,--,23:14
00165,Intercity *,CARTAGENA,20:51,7,20:58
05273,AVE *,OURENSE,07:20,--,07:20
01092,EUROMED *,BARCELONA-SANTS,07:20,--,07:20
18006,MD *,LEÓN,20:41,3,20:44
18014,MD *,SAN SEBASTIÁN/DONOSTIA,21:42,2,21:44
18908,MD,SALAMANCA,22:47,--,22:47
05069,AVE *,CASTELLÓ,08:58,--,08:58
08173,AVANT *,TOLEDO,17:59,--,17:59
02151,AVE *,SEVILLA-SANTA JUSTA,18:15,1,18:16
02151,AVE *,SEVILLA-SANTA JUSTA,18:15,1,18:16
08171,AVANT *,PUERTOLLANO,18:28,24,18:52
05171,AVE *,VALENCIA JOAQUÍN SOROLLA,18:32,1,18:33
02161,AVE *,SEVILLA-SANTA JUSTA,18:40,1,18:41
00606,ALVIA *,PAMPLONA/IRUÑA,18:48,--,18:48
03160,AVE *,BARCELONA-SANTS,18:55,6,19:01
03160,AVE *,BARCELONA-SANTS,18:55,6,19:01
08183,AVANT *,TOLEDO,18:58,--,18:58
02163,AVE *,MÁLAGA MARÍA ZAMBRANO,19:11,--,19:11
02167,AVE *,MÁLAGA MARÍA ZAMBRANO,19:11,--,19:11
03162,AVE *,FIGUERES VILAFANT,19:12,--,19:12
02361,AVE *,SEVILLA-SANTA JUSTA,19:17,2,19:19
05181,AVE *,VALENCIA JOAQUÍN SOROLLA,19:32,7,19:39
08181,AVANT,PUERTOLLANO,19:40,1,19:41
02173,AVE *,MÁLAGA MARÍA ZAMBRANO,19:45,--,19:45
03172,AVE *,BARCELONA-SANTS,19:45,5,19:50
08193,AVANT *,TOLEDO,19:54,--,19:54
06308,AVLO,BARCELONA-SANTS,19:55,2,19:57
02365,ALVIA *,HUELVA,20:03,21,20:24
02171,AVE *,SEVILLA-SANTA JUSTA,20:10,8,20:18
02371,AVE *,SEVILLA-SANTA JUSTA,20:17,6,20:23
08191,AVANT *,PUERTOLLANO,20:28,3,20:31
05191,AVE *,VALENCIA JOAQUÍN SOROLLA,20:33,--,20:33
09331,Intercity *,ALGECIRAS,20:40,12,20:52
02183,AVE *,MÁLAGA MARÍA ZAMBRANO,20:45,--,20:45
02183,AVE *,MÁLAGA MARÍA ZAMBRANO,20:45,--,20:45
08203,AVANT *,TOLEDO,20:58,--,20:58
03182,AVE *,BARCELONA-SANTS,21:12,--,21:12
02181,AVE *,SEVILLA-SANTA JUSTA,21:17,--,21:17
05291,AVE,VALENCIA JOAQUÍN SOROLLA,21:26,--,21:26
00612,ALVIA,PAMPLONA/IRUÑA,21:30,9,21:39
02193,AVE *,MÁLAGA MARÍA ZAMBRANO,21:44,--,21:44
03192,AVE *,FIGUERES VILAFANT,21:45,1,21:46
03190,AVE,BARCELONA-SANTS,21:55,--,21:55
03190,AVE,BARCELONA-SANTS,21:55,--,21:55
08213,AVANT,TOLEDO,22:03,--,22:03
02375,Intercity *,SEVILLA-SANTA JUSTA,22:12,11,22:23
02191,AVE *,SEVILLA-SANTA JUSTA,22:17,1,22:18
02175,ALVIA,CÁDIZ,22:22,3,22:25
00706,ALVIA,LOGROÑO,22:22,--,22:22
08211,AVANT,PUERTOLLANO,22:33,--,22:33
05701,Intercity *,VINARÒS,22:34,1,22:35
05901,Intercity,VINARÒS,22:34,1,22:35
05903,AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,22:35,1,22:36
00610,ALVIA,PAMPLONA/IRUÑA,22:59,--,22:59
02203,AVE *,MÁLAGA MARÍA ZAMBRANO,23:00,--,23:00
02197,AVE *,MÁLAGA MARÍA ZAMBRANO,23:00,--,23:00
06511,AVLO,VALENCIA JOAQUÍN SOROLLA,23:06,--,23:06
03202,AVE *,BARCELONA-SANTS,23:12,--,23:12
02211,AVE *,SEVILLA-SANTA JUSTA,23:42,--,23:42
06310,AVLO,BARCELONA-SANTS,23:45,--,23:45
06307,AVLO,BARCELONA-SANTS,18:00,8,18:08
02180,AVE *,SEVILLA-SANTA JUSTA,18:00,--,18:00
02384,ALVIA *,HUELVA,18:05,20,18:25
00701,ALVIA *,LOGROÑO,18:05,--,18:05
08173,AVANT *,ALBACETE-LOS LLANOS,18:10,3,18:13
02182,AVE *,MÁLAGA MARÍA ZAMBRANO,18:30,5,18:35
03183,AVE *,BARCELONA-SANTS,18:30,1,18:31
02380,AVE *,SEVILLA-SANTA JUSTA,18:35,4,18:39
06510,AVLO,VALENCIA JOAQUÍN SOROLLA,18:40,5,18:45
02190,AVE *,SEVILLA-SANTA JUSTA,19:00,--,19:00
03191,AVE *,FIGUERES VILAFANT,19:00,--,19:00
03393,AVE *,HUESCA,19:05,--,19:05
08190,AVANT,PUERTOLLANO,19:15,--,19:15
05198,AVE *,CASTELLÓ,19:25,--,19:25
06309,AVLO,FIGUERES VILAFANT,19:30,2,19:32
00801,ALVIA *,PAMPLONA/IRUÑA,19:35,5,19:40
02192,AVE *,MÁLAGA MARÍA ZAMBRANO,19:35,--,19:35
02196,AVE *,MÁLAGA MARÍA ZAMBRANO,19:35,--,19:35
08192,AVANT *,TOLEDO,19:45,--,19:45
08200,AVANT *,PUERTOLLANO,20:15,--,20:15
02202,AVE *,MÁLAGA MARÍA ZAMBRANO,20:30,--,20:30
05200,AVE,VALENCIA JOAQUÍN SOROLLA,20:38,--,20:38
03203,AVE *,BARCELONA-SANTS,20:40,--,20:40
08212,AVANT *,TOLEDO,20:45,--,20:45
02210,AVE *,SEVILLA-SANTA JUSTA,21:00,--,21:00
03211,AVE,BARCELONA-SANTS,21:10,--,21:10
05410,AVE *,VALENCIA JOAQUÍN SOROLLA,21:10,--,21:10
08220,AVANT *,PUERTOLLANO,22:15,--,22:15
18054,REG.EXP.,TORTOSA,18:07,--,18:07
01152,EUROMED *,VALENCIA JOAQUÍN SOROLLA,18:19,--,18:19
15624,REGIONAL,LLEIDA,18:24,4,18:28
03161,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,18:30,--,18:30
03192,AVE *,FIGUERES VILAFANT,18:30,--,18:30
34192,AVANT *,FIGUERES VILAFANT,18:30,--,18:30
15042,REG.EXP.,LLEIDA,18:37,2,18:39
15814,REGIONAL,PORTBOU,18:40,7,18:47
03153,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,18:42,--,18:42
08187,AVANT *,LLEIDA,19:03,--,19:03
15018,MD,GIRONA,19:10,--,19:10
18056,REG.EXP. *,TORTOSA,19:10,--,19:10
03163,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,19:15,--,19:15
03163,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,19:15,--,19:15
03171,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,19:30,4,19:34
34742,AVANT *,FIGUERES VILAFANT,19:32,2,19:34
10742,AVE,FIGUERES VILAFANT,19:32,2,19:34
15234,REGIONAL,SALOU - PORT AVENTURA,19:38,--,19:38
15092,MD,PORTBOU,19:40,--,19:40
01314,Intercity,ALICANTE/ALACANT,19:42,--,19:42
00563,Intercity,PAMPLONA/IRUÑA,19:55,7,20:02
00694,TORRE ORO *,CÁDIZ,20:05,6,20:11
15918,MD,PORTBOU,20:10,6,20:16
15036,REG.EXP.,FLIX,20:10,10,20:20
15052,REG.EXP.,LLEIDA,20:17,10,20:27
03941,AVE *,SEVILLA-SANTA JUSTA,20:22,6,20:28
03991,AVE *,SEVILLA-SANTA JUSTA,20:22,6,20:28
06307,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:30,15,20:45
34292,AVANT *,FIGUERES VILAFANT,20:30,--,20:30
00264,Intercity *,CARTAGENA,20:40,177,23:37
15074,MD,FIGUERES,20:40,3,20:43
03173,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:42,4,20:46
01182,EUROMED *,VALENCIA JOAQUÍN SOROLLA,20:57,--,20:57
15236,REGIONAL,SALOU - PORT AVENTURA,21:01,2,21:03
18058,REG.EXP.,TORTOSA,21:08,4,21:12
15848,REGIONAL,PORTBOU,21:10,3,21:13
03183,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:20,1,21:21
03191,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:30,1,21:31
00625,ALVIA *,MONFORTE DE LEMOS,21:35,15,21:50
00631,ALVIA *,MONFORTE DE LEMOS,21:35,15,21:50
34631,AVANT,MONFORTE DE LEMOS,21:35,15,21:50
15016,REG.EXP. *,ZARAGOZA-DELICIAS,21:37,4,21:41
18252,REG.EXP.,TORTOSA,21:46,--,21:46
01192,EUROMED *,ALICANTE/ALACANT,22:04,29,22:33
01382,Intercity,VALENCIA-ESTACIÒ DEL NORD,22:13,3,22:16
00437,ALVIA *,CASTEJÓN DE EBRO,22:20,26,22:46
15850,REGIONAL,PORTBOU,22:20,--,22:20
15238,REGIONAL,SALOU - PORT AVENTURA,22:32,--,22:32
18096,REG.EXP.,TORTOSA,22:40,--,22:40
15626,REGIONAL,LLEIDA,22:42,1,22:43
06309,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,22:46,3,22:49
15822,REGIONAL,PORTBOU,22:52,--,22:52
15138,REGIONAL,REUS,23:02,--,23:02
18262,REGIONAL,TORTOSA,23:32,--,23:32
15240,REGIONAL,SALOU - PORT AVENTURA,23:35,--,23:35
03211,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,23:40,--,23:40
18091,REG.EXP.,TORTOSA,18:00,18,18:18
03182,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,18:00,2,18:02
01181,EUROMED *,ALICANTE/ALACANT,18:15,1,18:16
15923,MD,FIGUERES,18:19,12,18:31
01152,EUROMED *,FIGUERES VILAFANT,18:32,--,18:32
03192,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,18:40,--,18:40
15627,REGIONAL,LLEIDA,18:37,3,18:40
15051,REG.EXP.,LLEIDA,19:00,--,19:00
15139,REGIONAL,REUS,19:04,--,19:04
15841,REGIONAL,PORTBOU,19:16,3,19:19
03190,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,19:25,--,19:25
03190,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,19:25,--,19:25
01201,Intercity *,VALENCIA-ESTACIÒ DEL NORD,19:30,--,19:30
15031,REG.EXP.,MORA LA NOVA,19:57,--,19:57
18087,REG.EXP.,TORTOSA,20:00,--,20:00
18189,REG.EXP.,TORTOSA,20:00,--,20:00
03202,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:00,--,20:00
08206,AVANT,LLEIDA,20:05,--,20:05
15089,MD,FIGUERES,20:16,--,20:16
15035,REG.EXP.,REUS,20:27,--,20:27
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,--,20:30
15237,REGIONAL,SALOU - PORT AVENTURA,20:30,--,20:30
15007,MD,FIGUERES,20:46,--,20:46
18259,REG.EXP.,TORTOSA,21:00,--,21:00
06310,AVLO,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:00,--,21:00
03610,AVE,MADRID PTA. ATOCHA - ALMUDENA GRANDES,21:25,--,21:25
15027,REG.EXP.,REUS,21:30,--,21:30
03191,AVE *,FIGUERES VILAFANT,21:40,1,21:41
34191,AVANT *,FIGUERES VILAFANT,21:40,1,21:41
15917,MD *,GIRONA,21:46,--,21:46
06309,AVLO,FIGUERES VILAFANT,22:56,3,22:59
14003,REG.EXP.,VALENCIA-ESTACIÒ DEL NORD,16:46,1,16:47
38003,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,16:46,1,16:47
05742,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,16:47,2,16:49
00463,Intercity *,BARCELONA-SANTS,17:34,3,17:37
18523,MD *,VALENCIA-ESTACIÒ DEL NORD,18:25,19,18:44
38523,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,18:25,19,18:44
14202,MD *,CARTAGENA,18:30,2,18:32
05162,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,18:33,--,18:33
05172,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:20,77,20:37
05903,AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,20:02,1,20:03
05182,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,20:20,33,20:53
18181,MD *,CIUDAD REAL,20:32,7,20:39
00165,Intercity *,BARCELONA-SANTS,20:39,--,20:39
01161,EUROMED *,BARCELONA-SANTS,21:05,14,21:19
05382,AVE *,OURENSE,21:26,8,21:34
05212,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,22:26,--,22:26
04140,ALVIA *,GIJÓN/XIXÓN,22:54,32,23:26
01181,EUROMED *,BARCELONA-SANTS,23:14,2,23:16
05742,AVE *,ORIHUELA-MIGUEL HERNÁNDEZ,16:55,2,16:57
18083,MD *,CIUDAD REAL,17:00,15,17:15
38083,REGIONAL,CIUDAD REAL,17:00,15,17:15
01192,EUROMED *,BARCELONA-SANTS,17:18,1,17:19
00463,Intercity *,MURCIA,17:50,--,17:50
05183,AVE *,LEÓN,17:40,1,17:41
01402,Intercity *,BARCELONA-SANTS,18:11,1,18:12
18523,MD *,CARTAGENA,18:34,16,18:50
14202,MD *,VALENCIA-ESTACIÒ DEL NORD,18:37,16,18:53
38202,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,18:37,16,18:53
05193,AVE,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,18:45,1,18:46
14209,REGIONAL,VALENCIA-ESTACIÒ DEL NORD,19:15,2,19:17
05203,AVE *,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,19:45,1,19:46
05903,AVE *,MADRID PTA. ATOCHA - ALMUDENA GRANDES,20:12,1,20:13
00165,Intercity *,CARTAGENA,20:51,--,20:51
18004,MD *,VALLADOLID,17:31,--,17:31
18012,MD *,SAN SEBASTIÁN/DONOSTIA,19:09,5,19:14
18904,MD *,SALAMANCA,19:48,--,19:48
18006,MD *,LEÓN,20:41,5,20:46
18014,MD *,SAN SEBASTIÁN/DONOSTIA,21:42,2,21:44
18908,MD,SALAMANCA,22:47,--,22:47
18008,REG.EXP.,VITORIA/GASTEIZ,23:40,4,23:44
18065,MD *,VITORIA/GASTEIZ,17:12,--,17:12
18913,MD *,SALAMANCA-LA ALAMEDILLA,17:54,--,17:54
18005,MD *,LEÓN,18:27,--,18:27
18909,MD *,SALAMANCA-LA ALAMEDILLA,19:37,--,19:37
18007,MD *,PALENCIA,20:28,--,20:28
18911,MD *,SALAMANCA-LA ALAMEDILLA,21:12,--,21:12
